ip.src,ip.dst,_ws.col.protocol,_ws.col.packet_length,tcp.port
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,82,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.124,224.0.0.251,MDNS,82,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.54,192.168.1.124,AJP13,164,53235,8009
192.168.1.124,192.168.1.54,AJP13,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,239.255.255.250,SSDP,463,
192.168.1.124,239.255.255.250,SSDP,515,
192.168.1.124,239.255.255.250,SSDP,467,
192.168.1.124,239.255.255.250,SSDP,509,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,239.255.255.250,SSDP,467,
192.168.1.124,239.255.255.250,SSDP,463,
192.168.1.124,239.255.255.250,SSDP,515,
192.168.1.124,239.255.255.250,SSDP,509,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.124,239.255.255.250,SSDP,167,
192.168.1.124,239.255.255.250,SSDP,167,
192.168.1.124,239.255.255.250,SSDP,167,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.124,224.0.0.251,MDNS,82,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.124,224.0.0.251,MDNS,380,
